label_or_protocol_item,status,true_label_available,proxy_available,observed_local_evidence,confirmation_method,claim_ceiling
class/objectness,available,True,False,"1500 text label CSV files; 6168 object rows; class ids [0, 1, 2, 80]",read text_labels/*.csv and label_policy.json,objectness/class sanity only
range,available_by_projection_proxy,False,True,selected_frames_manifest.csv has range_min/range_max; label rows have px/py-like spatial fields,read selected_frames_manifest.csv; range_min/range_max nonempty,"range-only/projection sanity, not full physical GT"
azimuth,proxy_available_calibration_unresolved,False,True,selected_frames_manifest.csv has azimuth_min/azimuth_max; D5C-RA-RCA reports smoke RA axis only,read manifest azimuth fields and ra_fft_axis_audit.csv,RA calibration audit only
Doppler,absent_as_true_label,False,True,text label CSVs have 6 columns and no Doppler/velocity field; D5E uses clean/interfered RD peak proxies,read text label rows and d5e_rd_proxy_label_dependence.csv,RD proxy only; no confirmed RD performance
RAD boxes,absent,False,False,no RAD annotation directory/file found under subset_d1a_v1,listed subset directories and known manifest/label files,insufficient labels for Gao77 RAD claims
temporal track IDs,absent,False,frame_continuity_only,5 source sequences; frame IDs exist but no per-object track ID column/file,read source_sequence/source_radar_file and text_labels,no temporal target performance claim
velocity,absent_proxy_only,False,True,no velocity column in text labels; RD Doppler peak can only proxy radial motion,read text labels and D5E proxy table,diagnostic proxy only
raw complex ADC,available,True,False,"1500 MAT files; sample adcData shape=128x255x4x2, dtype=complex128, complex=True",loaded one radar_raw_frame MAT file with scipy.io.loadmat,availability and deterministic transform audit
clean/interfered synthetic pairing,available_as_synthetic_pairing,False,True,D5D/D5E generated synthetic FMCW-like interference manifests and clean/interfered RD cases,read D5E config and prior interference CSV paths,"synthetic proxy only, not real physical interference"
weak target definition,proxy_train_only_threshold_available_but_small,False,True,D5D frozen threshold source=train split only; D5D test weak_n=62 under overlap-aware q30,parsed d5d_rd_weak_thresholds.json,weak evidence; fails D5H pass threshold weak_n>=100 for RD proxy
