representation,input_shape_estimate,information_kept,information_lost,label_source,proxy_label_dependence,leakage_risk,weak_n_estimate,projection_hit_rate,weak_projection_hit_rate,overlap_ratio,weak_overlap_ratio,separability_proxy_db,weak_separability_proxy_db,target_background_contrast_db,fixed_pfa_1e_2_measured,fixed_pfa_1e_2_feasible,fixed_pfa_1e_3_measured,fixed_pfa_1e_3_feasible,stricter_pfa_feasibility,baseline_saturation_risk,clean_no_harm_definability,gtx1650_4gb_memory_feasible,final_eligibility_label,final_reason,evidence_source
range_only,128,range energy profile; simple distance/objectness cue,"Doppler, azimuth, phase, temporal persistence",range label projection from Gao77 px/py/manifest,medium: range/weak definitions are projected,low: train-only weak threshold available; range projection still proxy,262,0.5555555555555556,0.3511450381679389,0.4754521963824289,0.2786259541984733,8.508477454031476,5.935464501424592,7.649803840278551,0.010518884574655841,yes,0.0017649135192375574,warn,limited: PFA 1e-3 exists; stricter not rerun for range in D5H,not_saturated_as_score_but_known_negative_baseline,"definable as clean range no-harm, but only baseline",True,proxy-only,Baseline/reference only; does not improve over range-only by definition and cannot be a positive route.,D5C range/RD/RA separability CSV
corrected_RD,128x255,range-Doppler separation; radial velocity-like structure,azimuth; true velocity labels; phase if magnitude only,range labels plus clean/interfered RD peak Doppler proxy,high: no true Doppler; clean-peak proxy dominates,high: clean-RD proxy and PFA=1e-2 saturation,62,1.0,1.0,0.38242894056847543,0.1946564885496183,31.404831238187253,30.8048958669182,31.000595092773438,0.009759187772005412,yes,0.0010138314714122538,yes,yes as calibration; stricter PFA was tested in D5E but did not rescue weak weighting,"severe: balanced_mild weak Pd=1.0000, improvement_room=0","definable only as RD proxy no-harm, not confirmed object performance",True,proxy-only,"Relies on Doppler proxy, D5E weak_n=62<100, and main-PFA baseline is saturated.",D5C separability + D5E ceiling/proxy tables
corrected_RA,128x64,range-angle separation; spatial cue beyond range,Doppler; true calibrated radar-angle GT; phase if magnitude only,px/py to azimuth projection; smoke RA axis,medium: projection formula and mask width are unresolved,medium: empirical angle choices can be physically suspicious,262,0.11886304909560723,0.030534351145038167,0.21705426356589147,0.0648854961832061,9.581400218244054,9.027531631120288,9.02535629272461,0.01026779626346652,yes,0.0009852720578208101,yes,yes as RA smoke; physically plausible best weak hit remains low,low saturation risk; primary issue is calibration/weak hit,definable only after calibrated RA mapping,True,proxy-only,Original weak hit=0.0305; best physical weak hit=0.0941; calibration unresolved.,D5C RA RCA config/mask table
RAD,128x64x255,dense range-azimuth-Doppler tensor,phase and temporal history,RAD boxes/dense masks missing,high,high,,,,,,,,,,not_available,,not_available,not executable as confirmed fixed-PFA object audit on Gao77,not estimable without required labels,not definable for confirmed object no-harm,True,insufficient-labels,No true RAD boxes in Gao77 subset.,local file inventory + D5H gate
temporal_RD,T4x128x255,RD plus frame persistence,azimuth and true identity,track IDs and velocity missing,high,medium,,,,,,,,,,not_available,,not_available,not executable as confirmed fixed-PFA object audit on Gao77,not estimable without required labels,not definable for confirmed object no-harm,True,insufficient-labels,No track IDs; frame continuity alone is not a label.,local file inventory + D5H gate
temporal_RA,T4x128x64,RA plus frame persistence,Doppler and true identity,track IDs missing and RA unresolved,high,medium,,,,,,,,,,not_available,,not_available,not executable as confirmed fixed-PFA object audit on Gao77,not estimable without required labels,not definable for confirmed object no-harm,True,insufficient-labels,No tracks and RA calibration does not pass.,local file inventory + D5H gate
temporal_RAD,T4x128x64x255,full spatiotemporal RAD evidence,phase/raw waveform detail,RAD boxes and track IDs missing,high,high,,,,,,,,,,not_available,,not_available,not executable as confirmed fixed-PFA object audit on Gao77,not estimable without required labels,not definable for confirmed object no-harm,True,insufficient-labels,Both RAD and temporal labels are absent.,local file inventory + D5H gate
STFT_spectrogram,rx/tx aggregated 255x128,time-frequency interference structure,explicit object angle/Doppler labels,range/frequency projection only,medium,medium,,,,,,,,,,not_available,,not_available,not executable as confirmed fixed-PFA object audit on Gao77,not estimable without required labels,proxy no-harm only,True,proxy-only,"Can be signal diagnostic from raw ADC, but object labels are projected proxies.",local file inventory + D5H gate
complex_IQ,128x255x4x2,raw phase and amplitude,interpretable object mask in raw domain,phase-aware object GT missing,medium,medium,,,,,,,,,,not_available,,not_available,not executable as confirmed fixed-PFA object audit on Gao77,not estimable without required labels,proxy no-harm only,True,proxy-only,"Raw complex ADC exists, but target/background labels remain projected.",local file inventory + D5H gate
complex_RD,128x255x2,RD magnitude plus phase,azimuth and true Doppler labels,true Doppler missing,medium,medium,,,,,,,,,,not_available,,not_available,not executable as confirmed fixed-PFA object audit on Gao77,not estimable without required labels,proxy no-harm only,True,proxy-only,Same RD label limit; phase preservation does not fix label validity.,local file inventory + D5H gate
