representation_name,input_shape_estimate,information_kept,information_lost,required_label_type,available_label_source_in_Gao77,proxy_label_needed,proxy_bias_risk,leakage_risk,expected_overlap_reduction,weak_target_definition_candidate,weak_n_estimation_method,saturation_detection_method,fixed_pfa_calibration_method,clean_no_harm_check,phase_or_angle_consistency_check,pfa_levels_to_test,gpu_memory_risk_on_GTX1650_4GB,minimum_sanity_subset_size,pass_criteria,fail_criteria,recommended_next_action
range_only,"128 range bins or derived range profile","range energy and projected distance cue","Doppler; azimuth; phase; temporal persistence","range/objectness interval","text labels px/py plus manifest-derived range_min/range_max","yes; range interval mask","medium: range projection and mask width can over-cover targets","low to medium if train/test split fixed","low","train-only clean peak percentile; CFAR margin; local contrast; non-overlap weak","count weak labels on held-out test after train-only threshold frozen","baseline weak Pd at PFA=1e-2/1e-3; reject if weak Pd=1.0 or +5 hits impossible","calibrate threshold on validation background cells then measure test PFA","compare clean input target/background metrics and CFAR no-harm","not applicable except range projection sanity","1e-2;1e-3;5e-4;1e-4","low","all 1500 selected frames or current fixed split","baseline only; explicit range mask; PFA calibrates","used as positive next route despite prior negative evidence","keep as baseline and failure reference"
corrected_RD,"128 x 255 range-Doppler magnitude or complex RD","range and radial velocity separation","azimuth; angle; temporal history; phase if magnitude only","range plus true/validated Doppler or leakage-free Doppler proxy","range labels available; no true Doppler label found","yes; Doppler proxy required","high: clean-RD peak proxy can be optimistic","high if clean test peak determines labels","medium","weak by train-only RD target contrast or range weak plus Doppler-local evidence","count weak boxes after Doppler proxy built from train-only or leakage-free rule","check weak Pd saturation under no-op/balanced score; D5E saturation must not repeat","calibrate RD score thresholds on validation background cells per representation","clean RD map no-harm if clean/interfered pairs exist","Doppler sign/axis consistency; avoid clean test peak selection","1e-2;1e-3;5e-4;1e-4","medium",">=100 test weak boxes; otherwise proxy-only","Doppler proxy not clean-test-dependent; weak_n>=100; non-saturated; PFA calibrates","clean-peak proxy dominates or weak Pd saturates","audit only; proxy-only unless independent Doppler evidence appears"
corrected_RA,"128 x angle bins RA magnitude or complex RA","range and azimuth separation","Doppler; temporal history; phase if magnitude only","range plus calibrated azimuth/angle labels","px/py and manifest-derived azimuth exist; calibration unresolved","yes; angle projection/mask required","high: angle axis and mask width can bias hits","medium if angle formula chosen after test hits","medium","weak by train-only RA target contrast or range weak plus angle-local evidence","count weak labels after fixed angle mapping and train-only threshold","fixed-PFA weak hit must not be near-zero or saturated","calibrate RA score thresholds on validation background cells","clean RA no-harm if RA map deterministic from clean ADC","angle formula, axis sign, fftshift, mean angle error, physical FOV","1e-2;1e-3;5e-4","medium",">=100 weak targets if used for main evidence","physical mapping; improved weak hit/separability vs range_only; PFA calibrates","D5C-like weak hit 0.0305 persists or unphysical mapping chosen","RA self-check only; do not claim RA invalid"
RAD,"128 x angle x 255 dense tensor estimate","range; azimuth; Doppler dense structure","phase if magnitude cube only; long temporal history","RAD box/mask or calibrated 3D target label","not found locally","yes; RAD proxy would be needed","very high: boxes may be invented from projections","high if clean RD/RA peaks define boxes","high if labels valid","weak by 3D target contrast under train-only threshold","count weak RAD boxes after label construction","test no-op/baseline weak Pd and box hit saturation","calibrate 3D score/background thresholds using validation cells","clean RAD no-harm if deterministic RAD available","angle and Doppler consistency; box volume sanity","1e-2;1e-3","high","small subset <=100 frames for memory estimate; >=100 weak boxes for evidence","independent RAD label/proxy with bounded optimism; non-saturated; fits memory","no RAD labels or overbroad clean-peak boxes","mark insufficient-labels unless controlled synthetic or external labels used"
temporal_RD,"T x 128 x 255, suggested T=3 to 5","radial velocity plus temporal persistence","azimuth; calibrated angle; phase if magnitude only","track-consistent RD labels or leakage-free temporal proxy","no track IDs found","yes; temporal linking proxy required","high: linking may favor easy/clean detections","high if future/clean frames define labels","medium to high","weak by persistent low-SNR track with train-only threshold","count unique weak tracks and per-frame weak boxes","detect if baseline hits all track boxes at main PFA","calibrate per-frame or track-level PFA on validation background","clean temporal no-harm across paired clean frames","Doppler continuity and no future-label leakage","1e-2;1e-3;5e-4","medium to high",">=100 weak frame-instances and enough sequences","no future leakage; track proxy documented; non-saturated","track IDs absent and proxy cannot be validated","proxy-only temporal consistency audit"
temporal_RA,"T x 128 x angle bins","azimuth persistence and range-angle motion","Doppler; phase if magnitude only","track-consistent RA labels with calibrated angle","azimuth proxy exists; no tracks; RA unresolved","yes","very high: inherits RA and temporal proxy bias","high","medium to high","weak by persistent RA target contrast after RA gate passes","count weak tracks only after fixed RA mapping","same as RA plus temporal saturation check","calibrate per-frame/track thresholds on validation background","clean temporal RA no-harm","angle continuity and no future leakage","1e-2;1e-3","medium to high","RA gate pass plus >=100 weak frame-instances","RA pass first; no temporal leakage; PFA calibrates","RA remains inconclusive","defer until corrected_RA passes"
temporal_RAD,"T x 128 x angle x 255","full spatiotemporal radar evidence","phase if magnitude only; raw waveform details","track-level RAD boxes/masks","not found locally","yes; likely external or synthetic only","very high","high","very high if valid","weak by track-level RAD target contrast","count weak RAD tracks and frame-instances","baseline saturation at track and frame level","calibrate 3D/track score thresholds","clean temporal RAD no-harm","angle; Doppler; temporal consistency","1e-2;1e-3","very high","tiny subset for memory; >=100 weak frame-instances for evidence","RAD and temporal labels both valid; memory fits","missing RAD or tracks","insufficient-labels for Gao77; future dataset route"
STFT_spectrogram,"chirp/sample time-frequency map, exact bins TBD","beat-frequency and interference streak structure","angle; explicit object coordinates unless projected","signal-level clean/interfered pairing plus target projection","raw ADC and synthetic pair pipeline exist; object labels are spatial","yes; target-to-STFT projection needed","medium: signal metric may not align with object weak targets","medium if clean target signal defines test labels","medium","weak by signal contrast, CFAR margin, or target-local STFT energy","count weak target projections after train-only score threshold","check if no-op or clean-like score saturates target hits","calibrate background TF cells on validation split","clean spectrogram reconstruction/no-harm metric","phase optional unless complex STFT retained","1e-2;1e-3;5e-4","medium",">=100 weak projected targets","deterministic scoring path; PFA calibrates; no-harm definable","cannot map weak targets to STFT evidence","use as signal separability diagnostic"
complex_IQ,"raw complex IQ or adcData 128 x 255 x 4 x 2","phase and amplitude before FFT","semantic labels; Doppler/angle unless transformed","raw clean/interfered pairs plus downstream target labels","complex adcData exists","yes; target labels still projected","medium","medium","medium","weak by phase-aware target contrast/no-harm","count weak labels after projection to chosen score","saturation on phase-aware score at fixed PFA","calibrate score on validation background samples","phase-preserving clean no-harm","phase distribution, conjugate symmetry, I/Q consistency","1e-2;1e-3","medium to high","small subset memory estimate; >=100 weak labels if claiming","complex retained; no-harm definable; memory fits","phase not retained or target projection invalid","availability and phase no-harm audit only"
complex_RD,"128 x 255 complex RD","RD amplitude and phase","azimuth; temporal history","validated RD labels plus phase-consistent clean/interfered pairs","RD computable; no true Doppler label","yes","high from Doppler proxy","high if clean RD peak used","medium","weak by complex RD target contrast","count weak RD boxes under leakage-free proxy","weak Pd saturation under magnitude and phase-aware scores","calibrate validation background complex-score statistic","clean complex RD no-harm and phase distortion","phase stability and Doppler axis consistency","1e-2;1e-3;5e-4","medium",">=100 weak RD boxes","Doppler proxy bounded; phase consistency stable","same D5E mixed_proxy repeats","audit only; cap as proxy-only"
