dataset,source_url,raw_adc_or_raw_radar,dense_tensor_available,true_range_label,true_azimuth_label,true_doppler_or_velocity_label,rad_boxes_or_dense_masks,temporal_tracks,weak_target_subset_possible,clean_interfered_pairing,synthetic_interference_needed,gtx1650_4gb_sanity,engineering_cost,d5i_recommendation,notes
RADIal,https://github.com/valeoai/RADIal,yes_adc_binary_files,yes_generate_power_pointcloud_range_azimuth,yes_radar_R_m,yes_radar_A_deg,yes_radar_D,partial_vehicle_point_or_map_labels,no_explicit_tracks,yes_by_power_distance_difficult_flags,no,yes,metadata_or_downsample_only_high_for_full_raw,high,"Route A primary candidate after B passes","Best match among reviewed public datasets for raw ADC plus radar R/A/D labels, but no native clean/interfered weak-target pairing."
RADDet,https://github.com/ZhangAoCanada/RADDet,yes_additional_adc_folder,yes_RAD_256_256_64,yes_boxes_on_tensor,yes_RAD_azimuth_axis,yes_doppler_axis_boxes,yes_3d_boxes_and_cart_boxes,no_explicit_tracks,possible_by_box_power_range_size,no,yes,small_subset_possible_full_gt_adc_heavy,high,"Route A secondary RAD object-detection candidate","Strong RAD label reference; auto-annotation and large gt/ADC size make immediate use expensive."
CARRADA,https://github.com/valeoai/carrada_dataset,yes_raw_radar_data,yes_separate_RAD_tensors,yes_range_doppler_points_annotations,yes_range_angle_or_DoA_annotations,yes_doppler_annotation_views,yes_dense_annotations_views,instance_tracking_in_annotation_pipeline_not_full_motion_tracks,possible_with_annotations_and_power,no,yes,not_for_full_RAD_tensor_on_4gb,high,"Route A annotation/reference candidate","Useful for RA/RD/RAD annotation design; RAD tensors are large and no clean/interfered pairing."
Gao77_local,G:/mineru_output/gao_77ghz_raw_adc,yes_local_raw_complex_adc,derivable_but_proxy,range_projection_proxy,azimuth_proxy_unresolved,no_true_doppler,no_RAD_boxes,no_tracks,yes_but_proxy_and_small_weak_n,yes_synthetic_local_pairing_but_proxy_labels,already_used,yes_for_no_training_audit,low,"Diagnostic only; not main result","D5H no-pass remains binding; do not upgrade without new label evidence."
K-Radar,https://github.com/kaist-avelab/K-Radar,uncertain_not_revalidated,likely_4d_radar_tensor,likely_yes,likely_yes,likely_doppler_tensor,likely_3d_boxes,uncertain,possible,no,yes,unknown,high,"Long-term candidate only","Official raw README was not revalidated in this run; keep as follow-up, not a decision anchor."
RadarScenes,https://radar-scenes.com/,no_raw_adc_pointcloud_only,no_dense_tensor,point_coordinates,azimuth_in_points,radial_velocity_in_points,semantic_point_labels,yes_scene_ids_or_track_ids_reported_by_dataset,possible_but_post_cfar_bias,no,not_primary,yes,medium,"Reference only","Point-cloud route may lose weak targets before evaluation, so it is weak for preservation claims."
View_of_Delft,https://tudelft-iv.github.io/view-of-delft-dataset/,no_raw_adc_public_primary_pointcloud,no_dense_tensor,yes_3d_boxes,yes_spatial_boxes,radial_velocity_in_4d_radar_points,yes_3d_detection_boxes,no_primary_track_focus,possible_for_detection_no_raw_preservation,no,not_primary,yes,medium,"Reference only","Good 4D radar perception benchmark, but not a clean/interfered mitigation protocol."
Astyx_HiRes2019,https://www.astyx.com/development/astyx-hires2019-dataset.html,no_raw_adc_public_primary_pointcloud,no_dense_tensor,yes_3d_boxes,yes_3d_boxes,limited_point_velocity,yes_3d_boxes,no,limited_small_dataset,no,not_primary,yes,low_medium,"Reference only","Small 3D radar detection dataset; useful for annotation examples, not for D5 weak preservation."
RADIATE,https://pro.hw.ac.uk/radiate/,no_fmcw_raw_adc_primary_polar_radar,no_RAD_tensor,object_annotations,spatial_annotations,not_main_doppler_gt,boxes_or_tracks_for_perception,yes_for_sequences,limited_weather_subset,no,not_primary,yes,medium,"Reference only","Adverse-weather radar perception value, but not direct FMCW RAD weak-target preservation."
Oxford_Radar_RobotCar,https://arxiv.org/abs/1909.01300,no_automotive_fmcw_adc_navtech_scans,polar_radar_scans,odometry_map_labels_not_object_gt,not_ra_object_gt,no_object_doppler_gt,no_object_boxes,no_object_tracks_for_detection,not_suitable,no,no,yes_for_metadata,medium,"Not suitable for D5I main protocol","Useful for radar robustness/odometry, not object-level fixed-PFA weak-target evaluation."
