representation,phase1_priority,current_label_status,main_audit_question,projection_hit_rate_check,weak_n_check,overlap_check,separability_check,saturation_check,leakage_check,fixed_pfa_check,gpu_check,expected_gate_class,recommended_phase1_action
range_only,MUST,"supported baseline","How bad is the known range collapse baseline?","range interval hit rate from labels","train-only weak threshold; report test weak_n","target/weak overlap in range masks","target-background contrast in range profile","baseline weak Pd at PFA=1e-2/1e-3","split and threshold leakage only","validation-calibrated threshold on background cells","low memory","baseline_only","keep as reference; no positive route"
corrected_RD,MUST,"proxy-only","Can RD avoid D5E saturation without clean-Doppler leakage?","RD box hit under leakage-free Doppler proxy","test weak_n>=100 or weak evidence","RD box overlap vs range_only","RD target/background contrast and gain vs range_only","repeat D5E ceiling checks; reject weak Pd=1.0","clean-RD peak dependence audit","PFA=1e-2/1e-3 plus stricter","medium memory","proxy-only unless Doppler independently validated","audit first among non-range representations"
corrected_RA,MUST,"proxy-only/inconclusive","Can RA mapping become physically plausible and fixed-PFA useful?","angle projection hit with fixed formula and mask","weak hit count after fixed mapping","RA overlap vs range_only","RA contrast and mean angle error","D5C-like weak hit near zero or saturation","avoid choosing formula by test hit rate","PFA=1e-2/1e-3","medium memory","proxy-only or fail","run calibration self-check before any RA claim"
RAD,SHOULD,"insufficient-labels","Are RAD labels/boxes feasible without invention?","3D box coverage if boxes exist","weak RAD boxes count","3D box overlap and volume sanity","3D target/background contrast","box hit saturation at fixed PFA","clean peak or overbroad box leakage","PFA=1e-2/1e-3 if score exists","high memory","insufficient-labels","only feasibility; use CARRADA/RADDet as schema reference"
temporal_RD,SHOULD,"proxy-only/insufficient-tracks","Can temporal persistence be checked without track leakage?","track/frame RD hit consistency","weak frame-instances and weak tracks","track overlap with neighboring targets","temporal contrast persistence","track-level saturation","future-frame and clean-frame leakage","per-frame and track-level PFA if score exists","medium-high memory","proxy-only","audit only if sequence continuity is explicit"
temporal_RA,SHOULD,"insufficient until RA passes","Can temporal RA help after angle calibration?","RA track projection after RA gate","weak frame-instances count","temporal RA overlap","angle persistence contrast","track-level saturation","inherits RA and temporal leakage","PFA=1e-2/1e-3 if RA score passes","medium-high memory","insufficient-labels","defer until corrected_RA passes"
temporal_RAD,NICE,"insufficient-labels","Is full spatiotemporal RAD feasible?","RAD track hit if labels exist","weak tracks/frame-instances","3D temporal overlap","spatiotemporal contrast","3D/track saturation","RAD plus temporal leakage","PFA=1e-2/1e-3 only if labels exist","very high memory","insufficient-labels","future dataset route, not current Gao77"
STFT_spectrogram,SHOULD,"signal-proxy","Can time-frequency evidence expose targets before range collapse?","target-local STFT projection if definable","weak target projections count","TF target/interference overlap","TF target/background and interference contrast","score saturation at fixed PFA","clean signal leakage into test labels","background TF cell calibration","medium memory","proxy-only","use as signal diagnostic, not object performance"
complex_IQ,SHOULD,"availability-only plus projected labels","Does preserving phase enable no-harm/separability checks?","project labels to phase-aware score if defined","weak labels count from same split","not primary; compare projected target windows","phase-aware target/background contrast","score saturation if deterministic score exists","phase/no-harm labels must not use clean test peaks","PFA if deterministic score exists","medium-high memory","availability_or_proxy-only","audit availability and phase consistency"
complex_RD,SHOULD,"proxy-only","Can complex RD improve over magnitude RD without label leakage?","complex RD box hit under same proxy","weak RD boxes count","RD overlap vs range_only","magnitude+phase contrast","D5E saturation repeat check","clean peak and phase leakage","PFA=1e-2/1e-3","medium memory","proxy-only","audit after corrected_RD"
raw_ADC,SHOULD,"availability-only plus projected labels","Can raw ADC be audited without learned transform?","deterministic FFT/score projection","weak labels count from projected labels","not primary; compare downstream windows","raw/FFT deterministic separability","score saturation only if deterministic score exists","clean/interfered pairing leakage check","PFA on deterministic background score","high memory","availability_or_proxy-only","memory and deterministic-score feasibility only"
raw_ADC_learnable_FFT,NICE,"future-only","Would learnable FFT be possible later?","not applicable","not applicable","not applicable","not applicable","not applicable","training would be required","not applicable","very high memory","fail_for_D5H","do not run in D5H"
radar_point_cloud,NICE,"derived-proxy","Can sparse detections diagnose false negatives?","CFAR point-to-label matching","weak labels matched to points","point overlap not dense overlap","point detection confidence","all-hit or all-miss saturation","CFAR threshold and label matching leakage","same fixed-PFA CFAR thresholds","low memory","auxiliary_only","auxiliary diagnostic; not primary weak route"
