representation,dimensions,information_kept,information_lost,label_requirement,expected_overlap_reduction,risk_of_proxy_bias,risk_of_ceiling_effect,GPU_cost_level,suitability_for_current_Gao77,suitability_for_future_dataset,recommended_next_action
range_only,"range","range energy profile; simple target distance cue","Doppler; azimuth; phase; temporal persistence","range labels only","low","medium","high","low","high for sanity only; weak claims already negative","low to medium","close as primary claim; keep only as baseline and failure evidence"
RD,"range x Doppler","range and radial velocity separation","azimuth; full angle; phase if magnitude only; temporal persistence","range labels plus true or validated Doppler/velocity labels","medium","high if Doppler is clean-peak proxy","high under current D5D/D5E proxy","medium","medium for audit; current proxy failed saturation gate","high","redo only after Doppler label validity and non-saturation audit"
RA,"range x azimuth","range and angle separation","Doppler; phase if magnitude only; temporal persistence","range plus calibrated angle labels or camera/radar projection","medium","high if angle mapping is unvalidated","medium","medium","low to medium because D5C RA is inconclusive","high","run RA self-check before any RA training claim"
RAD,"range x azimuth x Doppler","full dense spatial-velocity tensor","phase if magnitude cube only; long temporal history","3D RAD boxes or dense masks; calibrated range-angle-Doppler mapping","high","medium to high if auto labels are not audited","medium","high","uncertain until Gao77 RAD labels are feasible","very high","Phase 0 feasibility only; use CARRADA/RADDet as protocol reference"
RD_temporal,"time x range x Doppler","motion consistency; radial velocity; weak target persistence","azimuth; phase if magnitude only","track-consistent RD labels or validated temporal proxy","medium to high","high if tracks leak from clean frames","medium","medium to high","uncertain","high","no-training temporal consistency audit after RD label gate"
RA_temporal,"time x range x azimuth","angle persistence; spatial trajectory","Doppler; phase if magnitude only","calibrated temporal RA labels","medium to high","high if camera projection bias dominates","medium","medium to high","low until RA mapping passes","high","only after RA projection/self-check passes"
RAD_temporal,"time x range x azimuth x Doppler","full spatiotemporal dense radar evidence","phase if magnitude only; raw waveform details","track-level RAD labels or trusted multi-sensor labels","very high","medium to high","low to medium if labels are valid","very high","low for current project without labels","very high","longer-term dataset route; not current D5 continuation"
STFT_spectrogram,"time-frequency","beat-signal time-frequency structure; interference streaks","angle; explicit object labels; sometimes Doppler after collapse","clean beat/range profile or target-preserving signal labels","medium","medium","medium","medium","medium for signal-level audit","medium","use as no-training separability and reconstruction diagnostic"
complex_IQ_RD,"range x Doppler x complex I/Q","phase and amplitude in RD","azimuth; temporal unless stacked","complex clean RD or phase-consistent proxy","medium","medium","medium","medium","uncertain; depends on saved complex tensors","high","audit availability of complex tensors and phase no-harm"
raw_ADC,"chirp x sample x rx/tx","pre-FFT information; phase; raw waveform","none before processing but hard to interpret","raw clean/interfered pairs plus downstream labels","high","medium","low to medium","high","available raw Gao77 may exist but label path uncertain","very high","long-term feasibility; do not jump before dense-label audit"
raw_ADC_learnable_FFT,"raw ADC with learnable transform","raw waveform plus learnable spectral transform","interpretability if transform unconstrained","raw ADC labels plus detection labels","high","medium","medium","very high","low for immediate D5G","very high","consider only after protocol gate and compute budget"
radar_point_cloud,"sparse detections x attributes","CFAR peaks; sparse range-angle-Doppler points","sub-threshold weak targets; dense energy field; phase","point labels or tracked object labels","low for weak targets","medium","low","low","low for weak-target preservation because weak targets may be below CFAR","medium","not primary for weak preservation; use only as auxiliary diagnostic"
